コード,PER,PBR,EPS成長率,自社株買い,業種平均PER
5411,17.011091,0.43307063,338.09999999999997,,15.285404499999999
5423,15.133742,0.7987651,-49.5,,15.285404499999999
5440,8.69163,0.40510243,-28.799999999999997,,15.285404499999999
5444,12.225106,1.3690373,107.89999999999999,,15.285404499999999
5445,6.3652496,0.797845,-33.900000000000006,,15.285404499999999
5451,11.724138,1.0246578,9.1,,15.285404499999999
5461,43.86562,0.7562835,,,15.285404499999999
5463,14.799898,1.096975,31.2,,15.285404499999999
5471,14.219446,0.94900036,41.199999999999996,,15.285404499999999
5480,10.12025,0.7098362,39.2,,15.285404499999999
5482,18.314482,0.8483247,-11.1,,15.285404499999999
5563,,0.81217426,,,15.285404499999999
5602,15.452898,1.094879,46.5,,15.285404499999999
5631,29.913649,2.6957018,35.4,,16.103048
5702,19.604414,0.9053788,258.0,,15.285404499999999
5703,11.813013,0.7272096,,,15.285404499999999
5706,17.231659,3.819032,,,16.103048
5711,16.260948,0.8516806,,,15.285404499999999
5713,14.765298,1.2097557,220.5,,15.285404499999999
5714,8.826107,1.1901532,266.40000000000003,,15.285404499999999
5715,10.172794,0.78907925,68.2,,15.285404499999999
5726,39.659367,2.2854156,304.09999999999997,,15.285404499999999
5741,inf,1.1079876,2635.1,,15.285404499999999
5801,36.573536,6.069417,331.1,,16.103048
5802,18.64035,2.4319575,89.1,,16.157451000000002
5803,56.072407,14.498905,,,16.103048
5805,21.429358,4.105583,88.6,,16.103048
5830,15.03641,1.1881715,-21.0,,15.377857500000001
5831,20.286396,1.4113951,45.0,,15.377857500000001
5832,15.18214,0.89233786,40.400000000000006,,15.377857500000001
5838,14.389556,2.6680734,24.5,,15.377857500000001
5844,14.230509,0.98409957,55.900000000000006,,15.377857500000001
5851,8.100135,0.46053287,-51.6,,16.103048
5857,12.213394,1.3393009,136.7,,16.103048
5901,11.905618,0.91310894,-7.199999999999999,,16.157451000000002
5911,13.53442,0.88163227,-42.8,,16.103048
5929,12.482682,2.1675944,-32.9,,16.103048
5930,10.203284,1.0986367,,,16.103048
